name,speciality,rating,delivery_time,pricing,offer,conditions
The Chinese Chef Co,"Chinese, Fast Food, Malaysian",3.9,45 MINS,Rs. 150 FOR TWO,40% off on all orders,Rs. 10 distance fee applicable
Veg Momo Factory,"Bhutanese, Fast Food, Chinese, Nepalese",3.9,45 MINS,Rs. 150 FOR TWO,30% off on all orders,Rs. 10 distance fee applicable
Pune12,"Chinese, Fast Food, Snacks",--,37 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Masala Punjab Da,"North Indian, Chinese",3.3,43 MINS,Rs. 300 FOR TWO,25% off on all orders,Rs. 10 distance fee applicable
Jagirdar Biryani,Indian,--,47 MINS,Rs. 400 FOR TWO, ,Rs. 30 distance fee applicable
Zippy Feed,"Biryani, Combo, North Indian",--,46 MINS,Rs. 250 FOR TWO, ,Rs. 30 distance fee applicable
Chinese Chaska,Chinese,--,46 MINS,Rs. 300 FOR TWO, ,Rs. 30 distance fee applicable
The Uncles Kitchen,"Chinese, Thalis",--,36 MINS,Rs. 300 FOR TWO, , 
Delicious,"Beverages, Chinese, Fast Food, Continental, Pastas",--,53 MINS,Rs. 300 FOR TWO,20% off on all orders,Rs. 30 distance fee applicable
AK Biryani House,"Biryani, Fast Food, North Indian",3.5,50 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Labbaik Biryani House,"Biryani, Fast Food, North Indian",--,50 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Rasna Buzz,"Fast Food, Desserts, Beverages",--,54 MINS,Rs. 300 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 30 distance fee applicable
Yogisthan,"Beverages, Fast Food",--,41 MINS,Rs. 300 FOR TWO,30% off on all orders,Rs. 10 distance fee applicable
The Cafe by Hyatt Regency Pune,"Indian, Italian, Asian, Mediterranean",--,38 MINS,Rs. 1500 FOR TWO, ,Rs. 10 distance fee applicable
Burger 69 and more,"American, Fast Food",--,39 MINS,Rs. 250 FOR TWO, ,Rs. 10 distance fee applicable
Food Eat's,"Chinese, Fast Food, Continental, Italian",--,53 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 30 distance fee applicable
Paaji's Paratha House,"North Indian, Chinese",3.5,44 MINS,Rs. 200 FOR TWO,20% off on orders above Rs. 100,Rs. 10 distance fee applicable
AK Cafe,"Biryani, Fast Food",--,48 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Cafe Foodie,Fast Food,--,50 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 30 distance fee applicable
Cafe 52,Fast Food,3.6,44 MINS,Rs. 200 FOR TWO,25% off on orders above Rs. 100,Rs. 10 distance fee applicable
Chinese Adda,"Chinese, Fast Food, Snacks",--,40 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Soul Handi,"North Indian, Chinese",--,46 MINS,Rs. 500 FOR TWO,20% off on all orders,Rs. 30 distance fee applicable
Food Eat's,"Chinese, Fast Food, Continental, Italian",--,53 MINS,Rs. 400 FOR TWO, ,Rs. 30 distance fee applicable
